Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,accept-friend-request sequence diagram,
2,Page,,,,,,,,,,Sequence diagram,
3,Activation,UML,2,,,,,,,,,
4,Activation,UML,2,,,,,,,,,
5,Class,UML,2,,,,,,,,Get friend requests,
6,Class,UML,2,,,,,,,,DB,
7,Actor,UML,2,,,,,,,,User A,
8,Activation,UML,2,,,,,,,,,
9,Activation,UML,2,,,,,,,,,
10,Text,Standard,2,,,,,,,,Display: User A Friend Requests,
11,Class,UML,2,,,,,,,,Accept friend request,
12,Class,UML,2,,,,,,,,DB,
13,Text,Standard,2,,,,,,,,GET: User A Friend Requests,
14,Text,Standard,2,,,,,,,,Return: User A Friend Requests,
15,Text,Standard,2,,,,,,,,Click on add friend,
16,Text,Standard,2,,,,,,,,Message: added friend!,
17,Text,Standard,2,,,,,,,,Display: friend requests,
18,Text,Standard,2,,,,,,,,POST: add User B as friend,
19,Text,Standard,2,,,,,,,,Return: User A friend requests,
20,Line,,2,,,5,8,None,None,,,
21,Line,,2,,,6,9,None,None,,,
22,Line,,2,,,7,,None,None,,,
23,Line,,2,,,,,None,Arrow,,Click on friend request page,
24,Line,,2,,,8,22,None,Arrow,,,
25,Line,,2,,,12,4,None,None,,,
26,Line,,2,,,11,3,None,None,,,
27,Line,,2,,,8,9,None,Arrow,,,
28,Line,,2,,,9,8,None,Arrow,,,
29,Line,,2,,,22,3,None,Arrow,,,
30,Line,,2,,,3,22,None,Arrow,,,
31,Line,,2,,,3,22,None,Arrow,,,
32,Line,,2,,,3,4,None,Arrow,,,
33,Line,,2,,,4,3,None,Arrow,,,
